id,"tanggal (WIB)","waktu (WIB)",lintang,bujur,"tingkat kepercayaan",satelit,"radius kemungkinan",kecamatan,kabupaten,provinsi,tipe
2839253,2021-03-15,13:09:39,0.5577139640000001,103.185632324,7,snpp,1588,"Kuala Kampar",Pelalawan,Riau,Cluster
2735982,2021-03-10,13:03:15,1.02771024,102.02495066333334,8,snpp,1399,"Siak Kecil",Bengkalis,Riau,Cluster
2774283,2021-03-12,10:36:00,0.1130034402012825,102.7438735961914,8,terra,3000,"Kuala Kampar",Pelalawan,Riau,Cluster
2735983,2021-03-10,13:03:15,1.34063378,102.4562683125,8,snpp,1500,Bengkalis,Bengkalis,Riau,Cluster
2839254,2021-03-15,13:09:39,0.576654826,103.18915710600001,8,snpp,1588,"Kuala Kampar",Pelalawan,Riau,Cluster
2774284,2021-03-12,10:36:00,-0.20113341510295868,102.37467956542969,8,terra,3000,Rengat,"Indragiri Hulu",Riau,Cluster
2839259,2021-03-15,13:09:39,1.7283026766666667,101.62805938666666,8,snpp,1399,Rupat,Bengkalis,Riau,Cluster
2775102,2021-03-12,10:34:00,-0.24796162545681,102.88329315185547,8,terra,3000,Gaunganakserka,"Indragiri Hilir",Riau,Cluster
2736206,2021-03-10,13:40:00,0.5915493965148926,103.18565368652344,8,aqua,3000,"Kuala Kampar",Pelalawan,Riau,Cluster
2777384,2021-03-12,13:28:00,1.014932632446289,101.83273315429688,7,aqua,3000,Siak,Siak,Riau,Cluster
2736208,2021-03-10,13:40:00,0.6878017783164978,102.77108001708984,8,aqua,3000,"Sungai Apit",Siak,Riau,Cluster
2736211,2021-03-10,13:40:00,1.0272960662841797,102.02719497680664,8,aqua,3414,"Siak Kecil",Bengkalis,Riau,Cluster
2736212,2021-03-10,13:40:00,1.3411200642585754,102.45246887207031,8,aqua,3414,Bengkalis,Bengkalis,Riau,Cluster
2755289,2021-03-11,02:06:00,0.47842589020729065,103.26741027832031,8,aqua,3000,"Kuala Kampar",Pelalawan,Riau,Cluster
2860043,2021-03-16,12:50:44,1.2757597,100.99213028,8,snpp,1280,Mandau,Bengkalis,Riau,Cluster
2870470,2021-03-17,01:36:01,0.633500635,103.24892425499999,8,snpp,1280,"Kuala Kampar",Pelalawan,Riau,Cluster
2777385,2021-03-12,13:28:00,1.015340805053711,101.76760864257812,7,aqua,3000,Siak,Siak,Riau,Cluster
2756315,2021-03-11,12:44:20,0.23839076,103.50403595,8,snpp,1125,Mandah,"Indragiri Hilir",Riau,Cluster
2785427,2021-03-12,22:52:00,1.3469655215740204,102.45100021362305,8,terra,4000,Bengkalis,Bengkalis,Riau,Cluster
2756316,2021-03-11,12:44:20,0.47825168166666665,103.25835164333331,8,snpp,1668,"Kuala Kampar",Pelalawan,Riau,Cluster
2878399,2021-03-17,10:53:00,0.9962871074676514,103.0034408569336,8,terra,3000,"Tebing Tinggi","Kepulauan Meranti",Riau,Cluster
2878400,2021-03-17,10:53:00,1.0036311149597168,102.7142105102539,8,terra,3000,"Tebingtinggi Barat","Kepulauan Meranti",Riau,Cluster
2787806,2021-03-13,01:09:18,1.3465530666666665,102.450527445,8,snpp,2803,Bengkalis,Bengkalis,Riau,Cluster
2878401,2021-03-17,10:53:00,0.38787147402763367,102.1319580078125,8,terra,3000,Bunut,Pelalawan,Riau,Cluster
2756319,2021-03-11,12:44:20,1.34283958375,102.45495128499999,8,snpp,1810,Bengkalis,Bengkalis,Riau,Cluster
2787808,2021-03-13,01:09:18,1.14134705,102.83260345,8,snpp,1125,"Rangsang Barat","Kepulauan Meranti",Riau,Cluster
2765986,2021-03-12,01:11:00,0.4781171977519989,103.26779174804688,7,aqua,3000,"Kuala Kampar",Pelalawan,Riau,Cluster
2766547,2021-03-11,22:10:00,0.4754991680383682,103.25866317749023,7,terra,3414,"Kuala Kampar",Pelalawan,Riau,Cluster
2878402,2021-03-17,10:53:00,-0.3399267792701721,102.86919403076172,8,terra,3000,Tempuling,"Indragiri Hilir",Riau,Cluster
2787811,2021-03-13,01:09:18,0.47636679,103.259552,8,snpp,1125,"Kuala Kampar",Pelalawan,Riau,Cluster
2766998,2021-03-12,01:29:39,-0.52521193,101.99206543,8,snpp,1125,Peranap,"Indragiri Hulu",Riau,Cluster
2787812,2021-03-13,01:09:18,-0.45594928,101.83015442,8,snpp,1125,Cerenti,"Kuantan Singingi",Riau,Cluster
2921836,2021-03-19,13:36:00,0.09889760613441467,102.74969482421875,7,aqua,3000,"Kuala Kampar",Pelalawan,Riau,Cluster
2796504,2021-03-13,11:19:00,1.8387798070907593,101.2166519165039,8,terra,3000,"Dumai Barat",Dumai,Riau,Cluster
2921837,2021-03-19,13:36:00,0.27622267603874207,102.70286560058594,7,aqua,3000,"Kuala Kampar",Pelalawan,Riau,Cluster
2921838,2021-03-19,13:36:00,0.4091668128967285,101.88936614990234,8,aqua,3000,Bunut,Pelalawan,Riau,Cluster
2921839,2021-03-19,13:36:00,0.5526524782180786,102.05937957763672,7,aqua,3000,Bunut,Pelalawan,Riau,Cluster
2880977,2021-03-17,13:48:00,0.9830790758132935,101.93946838378906,8,aqua,3000,Siak,Siak,Riau,Cluster
2796505,2021-03-13,11:19:00,1.3433210849761963,102.44609069824219,8,terra,3000,Bengkalis,Bengkalis,Riau,Cluster
2880978,2021-03-17,13:48:00,1.3427129983901978,102.3221206665039,8,aqua,3000,Merbau,"Kepulauan Meranti",Riau,Cluster
2921840,2021-03-19,13:36:00,0.7345713675022125,102.10923767089844,7,aqua,3414,"Siak Sri Indrapura",Siak,Riau,Cluster
2799029,2021-03-13,14:12:00,1.3456175327301025,102.44611740112305,8,aqua,3414,Bengkalis,Bengkalis,Riau,Cluster
2922229,2021-03-19,13:34:00,0.5024665594100952,102.2887191772461,7,aqua,3000,Bunut,Pelalawan,Riau,Cluster
2891447,2021-03-18,01:17:05,0.63437343,103.24962616,8,snpp,1125,"Kuala Kampar",Pelalawan,Riau,Cluster
2891448,2021-03-18,01:17:05,0.616787255,103.17606925999999,8,snpp,1500,"Kuala Kampar",Pelalawan,Riau,Cluster
2891449,2021-03-18,01:17:05,0.53106296,103.33220673,8,snpp,1125,"Kuala Kampar",Pelalawan,Riau,Cluster
